lat,lon,pfz,sst,chlorophyll,boats,label
9.0953,75.9806,1,26.94,0.696,31,SAFE
10.2,75.7883,0,30.18,0.396,29,OVERFISHED
13.1124,76.5238,0,30.49,0.385,23,OVERFISHED
8.2628,78.2014,1,26.33,0.634,56,OVERFISHED
14.0137,73.5864,0,30.01,0.226,40,OVERFISHED
12.086,78.3093,0,30.72,0.232,46,OVERFISHED
7.9914,76.6533,1,26.77,0.787,24,SAFE
8.9108,78.9937,0,29.96,0.225,23,OVERFISHED
11.7311,74.693,0,30.77,0.393,75,OVERFISHED
11.7464,80.1089,1,26.03,0.799,22,SAFE
11.6248,77.1368,0,29.81,0.258,37,OVERFISHED
12.1461,74.8947,1,28.94,0.77,46,OVERFISHED
12.772,76.5236,0,30.8,0.349,72,OVERFISHED
12.6599,78.7235,0,30.07,0.353,30,OVERFISHED
7.5133,77.4175,1,27.43,0.775,61,OVERFISHED
9.1125,75.9936,1,26.98,0.633,80,OVERFISHED
11.6819,74.8664,0,29.01,0.381,14,OVERFISHED
13.3613,78.5863,0,29.88,0.326,35,OVERFISHED
12.4611,80.47,1,26.37,0.605,31,SAFE
9.1054,74.3075,0,29.34,0.243,23,OVERFISHED
13.1192,80.4617,1,28.86,0.666,30,SAFE
11.76,80.1139,1,28.66,0.635,44,OVERFISHED
10.3917,75.5169,1,26.44,0.755,56,OVERFISHED
12.4661,78.5197,0,29.33,0.221,18,OVERFISHED
10.4644,75.6094,1,28.05,0.742,28,SAFE
14.6081,73.8753,1,26.34,0.604,10,SAFE
7.0514,78.2347,0,29.99,0.231,11,OVERFISHED
11.2556,78.1205,0,29.65,0.221,46,OVERFISHED
9.4878,75.0362,0,29.87,0.236,61,OVERFISHED
14.6442,77.6105,0,30.0,0.271,19,OVERFISHED
7.4914,77.4172,1,27.66,0.681,36,SAFE
7.7256,77.5856,1,28.56,0.721,12,SAFE
12.6755,77.6023,0,30.95,0.346,23,OVERFISHED
10.147,77.1567,0,30.88,0.299,74,OVERFISHED
10.8383,75.5456,1,27.32,0.639,45,OVERFISHED
12.0344,80.1875,1,27.26,0.743,14,SAFE
8.3264,76.6997,1,26.06,0.711,59,OVERFISHED
14.9477,77.902,0,29.55,0.397,44,OVERFISHED
10.9524,74.19,0,30.53,0.259,25,OVERFISHED
13.5425,74.0215,0,30.6,0.213,60,OVERFISHED
11.3975,74.8333,1,26.55,0.611,71,OVERFISHED
12.9939,80.4806,1,28.54,0.668,51,OVERFISHED
7.5778,77.4317,1,28.03,0.619,45,OVERFISHED
10.6442,75.5469,1,28.39,0.759,50,OVERFISHED
12.0683,80.2114,1,27.03,0.653,39,SAFE
8.9122,78.5647,1,28.95,0.65,72,OVERFISHED
13.3856,80.5083,1,28.96,0.734,26,SAFE
12.3998,74.9309,0,30.76,0.344,44,OVERFISHED
12.4347,80.5256,1,27.06,0.741,15,SAFE
8.5397,78.4628,1,27.66,0.76,77,OVERFISHED
12.0589,80.2011,1,28.0,0.621,19,SAFE
15.0854,80.7256,0,30.41,0.319,29,OVERFISHED
7.7678,74.5451,0,29.83,0.213,45,OVERFISHED
8.9453,78.8019,1,28.81,0.713,76,OVERFISHED
10.0796,78.558,0,29.36,0.275,36,OVERFISHED
14.2367,75.4979,0,30.92,0.296,56,OVERFISHED
12.0794,74.9139,1,27.61,0.613,77,OVERFISHED
7.2484,74.6005,0,30.95,0.208,79,OVERFISHED
8.1564,76.6811,1,26.5,0.632,65,OVERFISHED
13.4317,74.2178,1,28.77,0.782,72,OVERFISHED
8.6653,76.2225,1,27.46,0.72,25,SAFE
8.3739,77.9601,0,29.42,0.368,32,OVERFISHED
11.9728,79.3558,0,30.83,0.32,50,OVERFISHED
14.1434,76.2585,0,29.56,0.357,32,OVERFISHED
13.6142,77.7179,0,30.4,0.306,53,OVERFISHED
13.2183,75.8608,0,30.36,0.225,71,OVERFISHED
9.1011,74.6267,0,29.77,0.282,32,OVERFISHED
12.2417,78.0465,0,30.62,0.29,55,OVERFISHED
12.6268,76.0788,0,29.52,0.325,22,OVERFISHED
14.4126,78.1566,0,30.24,0.32,53,OVERFISHED
13.5737,76.1618,0,29.43,0.357,49,OVERFISHED
13.1497,80.8634,0,30.0,0.378,71,OVERFISHED
9.1422,79.0882,0,30.72,0.361,42,OVERFISHED
8.4767,78.4242,1,26.55,0.683,12,SAFE
13.9862,75.046,0,29.13,0.345,79,OVERFISHED
11.1278,78.49,0,30.48,0.241,52,OVERFISHED
9.4446,80.4887,0,29.94,0.372,55,OVERFISHED
6.9721,73.5493,0,29.36,0.391,70,OVERFISHED
8.7231,73.276,0,30.51,0.323,48,OVERFISHED
8.7944,80.3669,0,30.15,0.361,11,OVERFISHED
9.3574,77.7964,0,29.13,0.353,59,OVERFISHED
11.9797,80.1781,1,28.52,0.727,12,SAFE
9.4143,79.7758,0,29.59,0.21,44,OVERFISHED
14.2721,78.0795,0,29.83,0.325,49,OVERFISHED
14.2952,75.606,0,30.36,0.279,25,OVERFISHED
10.8614,75.5556,1,27.69,0.644,72,OVERFISHED
10.9267,75.5931,1,28.48,0.768,41,OVERFISHED
10.6832,79.5425,0,29.3,0.377,17,OVERFISHED
12.2522,80.3253,1,28.77,0.767,20,SAFE
9.5646,79.2908,0,30.1,0.237,36,OVERFISHED
12.8264,73.6507,0,29.69,0.296,16,OVERFISHED
7.5421,74.7922,0,29.33,0.364,32,OVERFISHED
11.5936,74.7775,1,26.33,0.624,10,SAFE
13.6007,78.2341,0,29.82,0.245,22,OVERFISHED
12.8878,80.4561,1,28.13,0.642,40,SAFE
8.3083,76.7122,1,27.48,0.698,75,OVERFISHED
15.0834,80.4594,0,30.64,0.306,30,OVERFISHED
10.3819,73.8271,0,29.6,0.296,43,OVERFISHED
14.5624,76.5274,0,29.8,0.361,23,OVERFISHED
8.59,78.4533,1,26.85,0.69,65,OVERFISHED
8.7394,78.44,1,26.18,0.606,58,OVERFISHED
10.9094,78.165,0,30.79,0.23,67,OVERFISHED
12.2558,73.3339,0,30.56,0.202,30,OVERFISHED
11.7959,80.5859,0,29.6,0.237,67,OVERFISHED
12.9851,78.5109,0,30.41,0.355,40,OVERFISHED
12.5529,80.3375,0,29.92,0.327,44,OVERFISHED
10.435,80.0497,1,27.78,0.797,38,SAFE
11.4569,74.8217,1,27.59,0.711,20,SAFE
12.1031,74.9117,1,27.53,0.687,51,OVERFISHED
12.3117,80.54,1,28.94,0.681,77,OVERFISHED
8.7312,79.7289,0,29.67,0.229,20,OVERFISHED
11.7065,80.0573,0,30.66,0.345,32,OVERFISHED
12.6767,80.4503,1,27.61,0.616,21,SAFE
8.7419,76.2533,1,27.43,0.74,32,SAFE
14.8109,78.9951,0,30.35,0.218,40,OVERFISHED
11.0522,80.2556,1,26.72,0.735,48,OVERFISHED
10.7708,75.6117,0,29.77,0.364,55,OVERFISHED
13.1718,74.7386,0,30.92,0.25,13,OVERFISHED
10.6669,75.5364,1,27.33,0.678,70,OVERFISHED
12.3089,74.8069,1,28.31,0.708,69,OVERFISHED
9.579,80.3582,0,30.24,0.263,31,OVERFISHED
7.8489,77.6961,1,26.85,0.787,38,SAFE
9.2447,76.0,1,26.51,0.64,60,OVERFISHED
9.0622,73.7997,0,29.08,0.376,42,OVERFISHED
13.4719,80.5231,1,28.08,0.755,17,SAFE
9.1307,74.3603,0,29.71,0.355,51,OVERFISHED
12.3929,76.2893,0,30.4,0.225,10,OVERFISHED
11.7544,74.8222,1,28.64,0.773,69,OVERFISHED
11.5728,74.7794,1,28.79,0.603,22,SAFE
12.915,80.4575,1,28.07,0.718,22,SAFE
14.0756,73.9658,1,26.99,0.645,20,SAFE
12.1208,80.2933,1,28.94,0.787,70,OVERFISHED
11.7319,80.1056,1,28.24,0.616,17,SAFE
12.6797,76.0857,0,29.42,0.238,25,OVERFISHED
12.0103,74.9039,1,29.0,0.747,38,SAFE
7.9269,77.8407,0,29.4,0.262,21,OVERFISHED
13.3309,79.7995,0,30.57,0.329,16,OVERFISHED
10.6908,75.5289,1,27.49,0.753,22,SAFE
8.333,76.0073,0,30.82,0.392,24,OVERFISHED
9.9694,77.1152,0,30.56,0.226,61,OVERFISHED
