lat,lon,pfz,sst,chlorophyll,boats,label
13.9669,74.4075,1,27.48,0.694,71,OVERFISHED
13.7272,74.5644,1,27.15,0.717,13,SAFE
12.9769,74.7456,1,26.48,0.701,20,SAFE
13.1108,74.7384,0,29.44,0.257,80,OVERFISHED
12.9769,74.7456,1,27.6,0.635,17,SAFE
14.8344,74.0117,1,27.97,0.608,18,SAFE
12.8661,74.73,1,28.87,0.704,41,OVERFISHED
12.9769,74.7456,1,28.23,0.742,46,OVERFISHED
14.3167,74.3389,1,28.62,0.719,51,OVERFISHED
13.2869,74.6156,1,28.21,0.756,17,SAFE
14.8694,74.3473,0,30.62,0.384,76,OVERFISHED
13.1499,74.1591,0,30.11,0.263,32,OVERFISHED
13.5256,74.6225,1,27.96,0.688,12,SAFE
14.1928,74.3286,1,27.34,0.69,24,SAFE
13.0764,74.7275,1,27.72,0.704,34,SAFE
14.8833,73.9961,1,28.37,0.793,45,OVERFISHED
14.8344,74.0117,1,26.31,0.764,26,SAFE
13.7914,74.3483,1,27.53,0.798,69,OVERFISHED
14.2361,74.3344,1,26.57,0.758,34,SAFE
14.1928,74.3286,1,26.43,0.667,66,OVERFISHED
13.5864,74.021,0,30.17,0.323,33,OVERFISHED
14.4583,74.2697,1,26.11,0.717,74,OVERFISHED
13.7272,74.5644,1,26.53,0.69,25,SAFE
13.9669,74.4075,1,26.85,0.707,42,OVERFISHED
14.6031,74.4333,0,29.09,0.344,10,OVERFISHED
13.3372,74.6261,1,26.17,0.685,38,SAFE
14.8344,74.0117,1,26.91,0.662,58,OVERFISHED
14.2361,74.3344,1,28.24,0.791,46,OVERFISHED
13.9669,74.4075,1,28.91,0.754,20,SAFE
13.2869,74.6156,1,26.37,0.659,22,SAFE
13.9669,74.4075,1,26.74,0.705,16,SAFE
14.7728,74.6175,0,29.9,0.289,36,OVERFISHED
13.9669,74.4075,1,28.74,0.603,55,OVERFISHED
13.2869,74.6156,1,26.72,0.635,79,OVERFISHED
14.7342,74.0642,1,28.68,0.754,62,OVERFISHED
14.777,74.1326,0,29.12,0.3,66,OVERFISHED
13.8286,74.0614,0,29.43,0.203,26,OVERFISHED
14.5628,74.1936,1,26.19,0.642,19,SAFE
13.3372,74.6261,1,27.93,0.609,34,SAFE
14.1644,74.3433,1,27.76,0.796,15,SAFE
