lat,lon,pfz,sst,chlorophyll,boats,label
9.0953,75.9806,1,28.01,0.696,16,SAFE
10.2,75.7883,0,29.28,0.331,42,LOW_AVAILABILITY
13.1124,76.5238,0,30.5,0.173,53,LOW_AVAILABILITY
8.2628,78.2014,1,27.8,0.693,24,SAFE
14.0137,73.5864,0,30.66,0.27,20,LOW_AVAILABILITY
12.086,78.3093,0,29.63,0.351,23,LOW_AVAILABILITY
7.9914,76.6533,1,27.23,0.698,65,HIGH_RISK
8.9108,78.9937,0,30.3,0.423,18,LOW_AVAILABILITY
11.7311,74.693,0,30.1,0.321,66,LOW_AVAILABILITY
11.7464,80.1089,1,26.28,0.692,74,HIGH_RISK
11.6248,77.1368,0,29.0,0.301,72,LOW_AVAILABILITY
12.1461,74.8947,1,26.92,0.73,52,MODERATE
12.772,76.5236,0,29.38,0.154,40,LOW_AVAILABILITY
12.6599,78.7235,0,31.08,0.402,28,LOW_AVAILABILITY
7.5133,77.4175,1,26.93,0.804,27,SAFE
9.1125,75.9936,1,27.28,0.716,29,SAFE
11.6819,74.8664,0,29.88,0.297,16,LOW_AVAILABILITY
13.3613,78.5863,0,29.81,0.327,70,LOW_AVAILABILITY
12.4611,80.47,1,27.47,0.788,36,SAFE
9.1054,74.3075,0,29.68,0.199,55,LOW_AVAILABILITY
13.1192,80.4617,1,26.14,0.572,13,SAFE
11.76,80.1139,1,26.35,0.721,79,HIGH_RISK
10.3917,75.5169,1,26.95,0.712,78,HIGH_RISK
12.4661,78.5197,0,29.56,0.385,17,LOW_AVAILABILITY
10.4644,75.6094,1,28.52,0.642,78,HIGH_RISK
14.6081,73.8753,1,26.75,0.838,71,HIGH_RISK
7.0514,78.2347,0,29.07,0.31,47,LOW_AVAILABILITY
11.2556,78.1205,0,31.4,0.265,22,LOW_AVAILABILITY
9.4878,75.0362,0,30.81,0.381,83,LOW_AVAILABILITY
14.6442,77.6105,0,30.04,0.344,28,LOW_AVAILABILITY
7.4914,77.4172,1,25.84,0.842,32,SAFE
7.7256,77.5856,1,29.13,0.667,63,HIGH_RISK
12.6755,77.6023,0,30.66,0.259,32,LOW_AVAILABILITY
10.147,77.1567,0,28.91,0.322,16,LOW_AVAILABILITY
10.8383,75.5456,1,28.49,0.793,29,SAFE
12.0344,80.1875,1,27.02,0.724,21,SAFE
8.3264,76.6997,1,27.17,0.617,16,SAFE
14.9477,77.902,0,30.75,0.367,35,LOW_AVAILABILITY
10.9524,74.19,0,30.2,0.255,26,LOW_AVAILABILITY
13.5425,74.0215,0,29.61,0.261,39,LOW_AVAILABILITY
11.3975,74.8333,1,28.57,0.578,24,SAFE
12.9939,80.4806,1,27.77,0.642,9,SAFE
7.5778,77.4317,1,26.4,0.709,18,SAFE
10.6442,75.5469,1,26.93,0.774,52,MODERATE
12.0683,80.2114,1,27.89,0.749,67,HIGH_RISK
8.9122,78.5647,1,28.48,0.646,58,MODERATE
13.3856,80.5083,1,25.47,0.779,42,MODERATE
